root_morphind	di	me
setop	11	38
setor	726	97
sewa	101	285
siar	1	5
sibak	2	73
sidik	18	29
siksa	88	118
simak	53	278
simpan	622	1340
sindir	15	45
singgung	118	239
singkap	1	80
sinyalir	64	15
siram	71	94
sita	128	199
sitir	5	18
sobek	7	14
sokong	73	106
songsong	1	138
sorong	4	4
sorot	44	46
sortir	8	19
suap	18	69
suguh	2	2
suka	5	0
sulam	11	33
sulut	20	94
sumbang	18	290
sumbat	4	27
sundul	1	11
sundut	2	3
suntik	48	19
suruh	357	564
susul	404	631
susun	1980	2342
tabrak	27	152
tabur	11	36
tagih	112	126
takar	2	31
taksir	35	22
tambah	1224	1791
tambal	12	42
tampar	26	84
tampik	16	133
tampil	1	0
tampung	143	591
tanam	283	399
tanggal	1	1
tanggap	3	6
tanggung	362	398
tangkal	10	94
tangkap	812	1226
tangkis	6	79
tantang	61	348
tanya	384	77
tarik	641	4485
taruh	96	439
tata	143	380
tatap	16	2311
taut	1	1
tawan	39	111
tawar	53	74
tebak	83	126
tebang	50	77
tebar	29	125
tebas	21	43
tebus	26	88
tegur	44	127
tekan	197	955
tekuk	38	83
telaah	66	226
telan	154	586
telikung	5	11
telisik	33	72
telusur	1	3
tembak	154	255
tembus	44	685
tempa	44	39
tempel	48	397
tempeleng	5	15
tempuh	686	570
temu	6	8
tendang	36	122
tenggelam	1	0
tengok	15	269
tentang	88	525
tenteng	14	137
tenun	8	25
tepis	17	108
tepuk	12	177
terap	1	3
terima	4438	6058
terjang	43	112
terjemah	2	0
terjun	1	0
terka	13	24
terkam	18	34
terobos	7	224
terpa	70	134
tilik	33	85
timba	5	122
timbang	83	312
timbun	24	60
timpa	51	445
tindak	52	98
tindas	28	74
tindih	13	19
tindis	1	2
tinggal	179	2059
tinjau	375	299
tiru	137	297
titip	4	25
tiup	70	95
todong	6	6
tolak	675	2402
tolong	67	560
tonton	79	721
topang	153	212
toreh	3	27
totok	2	4
traktir	10	11
transfer	122	128
tuai	2	187
tuang	16	30
tubruk	1	23
tuding	95	135
tuduh	235	221
tuju	171	5268
tukar	62	253
tulis	1132	3141
tumbuh	2	14
tumbuk	22	31
tumis	8	1
tumpang	1	286
tumpas	25	59
tumpuk	30	203
tunda	185	294
tunggu	136	2963
tunjang	106	757
tunjuk	868	778
tuntun	36	176
tuntut	640	1231
turut	7	0
tusuk	27	158
tutup	737	1804
ubah	2802	2590
uber	7	0
ucap	5	129
uji	538	891
ukir	33	61
ukur	1220	1343
ulang	144	256
ulas	81	83
ulur	6	50
umpat	3	66
undang	482	782
undi	14	12
unduh	116	79
undur	11	1
unggah	99	120
ungkap	200	396
ungkit	2	31
urai	45	126
urus	108	871
usik	12	125
usir	141	395
usul	2	3
usung	187	274
utus	60	78
wajib	1	0
abai	0	2
absen	0	5
acuh	0	3
agah	0	7
aju	0	1
ajuk	0	2
aksep	0	7
alap	0	1
alir	0	1065
ampu	0	10
andal	0	2
anggit	0	3
angguk	0	1589
anggung	0	1
angon	0	2
antre	0	66
antri	0	18
aplus	0	1
apung	0	87
arau_karau	0	1
asong	0	1
asup	0	8
bacok	0	5
bahu	0	32
balap	0	3
bangkang	0	44
banjur	0	2
banting tulang	0	2
bantun	0	2
bedol	0	1
belintang	0	2
belok	0	17
belot	0	19
beredel	0	3
berongsang	0	1
berontak	0	118
besut	0	3
betot	0	13
biak	0	1
biar	0	3
bolos	0	47
bonceng	0	41
bopong	0	30
borbardir	0	1
bumbung	0	22
bungkuk	0	168
buyar	0	2
cangking	0	4
cangkung	0	10
cangkup	0	14
cantum	0	2
caritahu	0	3
cebur	0	9
cecah	0	1
cecap	0	21
cecar	0	18
cekal	0	12
cekau	0	2
celat	0	12
cengkram	0	7
cerabut	0	13
cercap	0	1
check	0	1
cicip	0	7
cincing	0	2
ciut	0	56
cokok	0	19
colok	0	241
copet	0	1
cor	0	4
cuat	0	150
cucup	0	1
cuplik	0	1
dabik	0	1
dapuk	0	2
dekam	0	103
dekap	0	107
dongak	0	244
dumel	0	1
edar	0	2
ejan_kejan	0	12
ejawantah	0	10
elon	0	1
embat	0	2
embus	0	14
empas	0	13
enap	0	1
endap	0	156
endon	0	1
endong_kendong_gendong	0	2
entak	0	20
erang	0	63
eyel	0	1
gampar	0	6
ganyang	0	5
garuk	0	60
gayut	0	3
gebu	0	38
gelagak	0	1
gelantung	0	14
gelatuk	0	1
gelayut	0	37
gelegak	0	36
geliat	0	128
gelinding	0	74
gelinjang	0	11
geloyor	0	2
genang	0	39
generalisir	0	6
gengam_genggam	0	5
gerapai	0	1
gerek	0	2
geret	0	3
gerundel	0	2
gesek	0	22
getar	0	1
getok	0	2
gibah	0	1
gigau	0	1
gocoh	0	2
golong	0	3
gorok	0	12
gowes	0	7
gubah	0	19
gulir	0	1
gumpal	0	54
gurah	0	2
gusah	0	1
halang	0	5
hambur	0	86
hancur	0	1
hangus	0	2
hasung	0	1
hempas	0	14
hentak	0	9
hindar	0	366
hubung	0	3
hujah	0	1
hunus	0	42
icip	0	2
idam	0	2
igau	0	46
imbau	0	186
impit	0	20
inap	0	401
inding	0	6
ingau	0	1
ingkar	0	1
ingsut	0	1
install	0	3
irik_kirik	0	1
jajak	0	1
jalar	0	173
jamah	0	15
jambret	0	2
jangkit	0	2
jawil	0	7
jegil	0	2
jelajah	0	90
jelma	0	370
jemur	0	49
jenggut	0	2
jengit	0	1
jerang	0	10
jewer	0	7
jinjit	0	1
jitak	0	4
jolok	0	1
jotos	0	5
juang	0	1
julang	0	162
julur	0	53
jungkit	0	4
juntai	0	26
kebut	0	20
keduk	0	13
keluyur	0	3
kembara	0	82
kemil	0	1
kemis	0	34
kempis	0	12
kempit	0	4
kemplang	0	3
kemut	0	3
kenyam	0	108
kenyut	0	2
kepak	0	31
kepit	0	8
keramas	0	1
keremus	0	2
kerjap	0	15
kerkah	0	4
ketam	0	1
khitan	0	1
kilap	0	36
kintil	0	1
kisai	0	1
kokang	0	12
kucek_ucek	0	13
kucur	0	104
kulum	0	12
kuncup	0	3
kupil	0	1
kutak	0	1
kutil	0	10
labuh	0	1
lacur	0	11
