LEFT	NODE	RIGHT	GENRE	AGENT_LEX	AGENT_TYPE	OV_IN_RELCL	REMARK
ita cetak, dengan amat bersemangat kau bilang bahwa ayahmu masih kokoh. Kau	ceritakan	pula, saat memperbaiki pintu dapur yang lepas dari engselnya, ayahmu masih	Cerpen				
oh sifat air mengalir dari tempat yang tinggi ke tempat yang rendah yang di	ceritakan	guru tentang bencana longsor yang terjadi di sekitar kita	Jurnal				
tersebut. Setiba kami di rumah Pak Jean Couteau yang berliku jalannya, kami	ceritakan	perihal pertemuan tadi sore dengan tukang kebun di Museum ARMA. Pak Jean C	Biografi				
mpat-tempat yang ternyata masih ada emasnya. Bodohnya aku yang begitu mudah	ceritakan	hal ini ke Jamal yang ternyata bermulut ember.	Cerpen				
uk akal jika itu mimpi. Tapi ia berkata bahwa pemandangan yang ia ingat dan	ceritakan	kepadaku bukanlah mimpi, tapi aku tidak menganggapnya serius.	Cerpen	ia	pronomina	TRUE	
mangsa anak-anak yang tidak mau makan sayur? Persis seperti yang sering ibu	ceritakan	. Aku ikut takut. Aku menangis.	Cerpen	ibu	nomina_kerabat	TRUE	
ung yang dibuat Kakek, sementara yang kutahu tidak seorang pun pernah Kakek	ceritakan	dongeng itu melainkan kepadaku? Ya, Kakek pernah mengatakannya, ia bilang	Cerpen	kakek	nomina_kerabat	FALSE	
laku telah menjadi sangkarnya. Bahkan hingga detik ini, ketika semuanya aku	ceritakan	kepada Rani, juga kepadamu.	Cerpen	aku	pronomina	FALSE	
las bahasa Inggrisku dalam hari-harinya, sesuatu yang ia permasalahkan (dan	ceritakan	kepadaku) jadi bertambah menjadi satu kali lipat lebih banyak: rambut berm	Cerpen	ia	pronomina	TRUE	
anak untuk menebalkan dengan menggunakan pensil. Sambil anak menyelesaikan,	ceritakan	atau Anda bisa juga menyanyi tentang binatang tersebut. Jika anak selesai	Populer				
l berprestasi tingkat nasional. Prestasi yang, kepada siapa pun, selalu dia	ceritakan	dengan mata berbinar.	Cerpen	dia	pronomina	TRUE	
lagi di Santa Cruz, kira-kira setengah tahun yang lalu. Seperti saya sudah	ceritakan	sebelumnya, kunjungan yang terakhir ini disertai dengan keluarganya. Seaka	Biografi				
yang Ayah	ceritakan	kepada jemaah Pengajian Tasawuf di rumah. Ayah ceritakan kisah-kisah terse	Biografi	ayah	nomina_kerabat	TRUE	
Aku seperti dijadikan pelampiasan dendam atas peristiwa yang dia alami dan	ceritakan	kepadaku.	Cerpen	dia	pronomina	TRUE	
jar. Disuruh mencari ular dan diajari cara menangkapnya. Seperti telah saya	ceritakan	sebelumnya. Pak Ganjar merupakan salah satu peneliti LIPI. Kegiatan prakti	Biografi				
ja mandiri tersebut kepada teman yang duduk di sebelah kamu! Kemudian, kamu	ceritakan	apa yang kamu buat tersebut di depan kelas!	Buku_Teks				
r tak terlepas dari kehidupan pribadi saya, bahkan sangat berpengaruh. Saya	ceritakan	dulu perubahan hidup yang cukup signifikan di akhir dekade 1970. Saya meni	Biografi				
a saya	ceritakan	, saya pernah diculik bayangan hitam dan memasukkan ke gerumbul pohon gayam	Cerpen				
