ID	morphind	root_morphind	semantic_types	root_pos_morphind	n
2050	ber+wangi<a>_VSA	wangi	spontaneous-events-property-of-inanimate-entity+OLFACTORY	a	1
714	ber+internet<n>_VSA	internet	reflexive-indirect-middle	n	8
2023	ber+upaya<n>_VSA	upaya	intentional	n	1137
667	ber+ibu<n>_VSA	ibu	reflexive-indirect	n	42
959	ber+konfik<n>_VSA	konfik	reflexive-indirect-middle	n	1
1826	ber+tamasya<n>_VSA	tamasya	translational-motion	n	15
168	ber+basuh<v>_VSA	basuh	grooming	v	3
440	ber+estafet<n>_VSA	estafet	reciprocal-chaining	n	4
893	ber+kerja<v>_VSA	kerja	reflexive-indirect-middle	v	39
116	ber+awan<n>_VSA	awan	spontaneous-events-inanimate-being-psychochemical-change	n	16
1385	ber+pijak<pre-cat>_VSA	pijak	non-trans-mot	pre-cat	128
1880	ber+telapak<n>_VSA	telapak	reflexive-indirect	n	1
442	ber+etika<n>_VSADASHsolidaristis<x>_X--	etika	self-control	n	1
59	ber+anak<n>_VSADASHcucu<n>_NSD	anak cucu	spontaneous-events-animate-being	n	1
781	ber+jubah<n>_VSA	jubah	grooming	n	42
1446	ber+produksi<n>_VSA	produksi	reflexive-indirect-middle	n	124
1882	ber+telepon<n>_VSA	telepon	reciprocal-naturally-reciprocal-events	n	22
1134	ber+lunas<a>_VSA	lunas	reflexive-indirect-middle	v	1
2026	ber+urat<n>_VSADASHakar<n>_NSD	urat	reflexive-indirect	n	1
1333	ber+pelesir<pre-cat>_VSA	pelesir	translational-motion	pre-cat	1
566	ber+getar<v>_VSA	getar	non-trans-mot-contained	v	353
151	ber+banjar<n>_VSA	banjar	reciprocal-collective-group-actions	n	4
137	ber+baju<n>_VSA	baju	grooming	n	112
1324	ber+pecah<v>_VSA	pecah	spontaneous-events-inanimate-being-partial-disruption-of-object-integrity	v	3
1537	ber+respons<n>_VSA	respons	emotion-middle-speech-action	n	7
58	ber+anak<n>_VSADASHpinak<x>_X--	anak pinak	spontaneous-events-animate-being	n	28
1966	ber+transaksi<n>_VSA	transaksi	reciprocal-naturally-reciprocal-events	n	267
1386	ber+pijar<n>_VSA	pijar	spontaneous-inanimate-state/activity-VISUAL	n	8
631	ber+hatihati<i>_VSA	hatihati	emotion-middle-1-participant	i	331
2051	ber+warga<n>_VSA	warga	reciprocal-collective-group-actions	n	3
919	ber+kinerja<n>_VSA	kinerja	reflexive-indirect-middle	n	90
1807	ber+swasembada<n>_VSA	swasembada	reflexive-indirect-middle	n	2
816	ber+kantong<n>_VSA	kantong	grooming	n	13
1857	ber+tarung<v>_VSA	tarung	reciprocal-naturally-reciprocal-events	v	239
955	ber+komuter<n>_VSA	komuter	translational-motion	n	1
29	ber+akrobat<n>_VSA	akrobat	body-actions-others	n	8
977	ber+konsultasi<n>_VSA	konsultasi	reciprocal-naturally-reciprocal-events	n	168
595	ber+gumam<n>_VSADASHber+bisik<v>_VSA	gumam	emotion-middle-speech-action	n	1
544	ber+gemuruh<n>_VSA	gemuruh	spontaneous-inanimate-state/activity-AUDITORY	n	67
49	ber+alih<v>_VSADASHwujud<n>_NSD	alih wujud	grooming	v	1
1525	ber+renda<n>_VSA	renda	grooming	n	6
1002	ber+kreatif<a>_VSA	kreatif	reflexive-indirect-middle	a	3
1419	ber+pongah<a>_VSA	pongah	self-control	a	1
1009	ber+kuah<n>_VSA	kuah	spontaneous-events-object-specific-substance	n	8
1140	ber+madu<n>_VSA	madu	spontaneous-events-property-of-inanimate-entity-GUSTATORY	n	3
1568	ber+sajak<n>_VSA	sajak	emotion-middle-speech-action	n	5
953	ber+komunikasi<n>_VSA	komunikasi	emotion-middle-speech-action	n	1212
1789	ber+sukacita<n>_VSA	sukacita	emotion-middle-1-participant	a	24
1937	ber+tindak<v>_VSADASHtanduk<n>_NSD	tindak	body-actions-others	v	1
280	ber+celana<n>_VSA	celana	grooming	n	33
1389	ber+pikir<v>_VSADASHivriting<x>_X--	pikir	cognition-middle	v	1
99	ber+asimilasi<n>_VSA	asimilasi	reciprocal-naturally-collective-actions	n	15
2054	ber+wasiat<n>_VSA	wasiat	emotion-middle-desiderative	n	8
1323	ber+payung<n>_VSA	payung	grooming	n	14
